Human_GeneID	Human_Symbol	Horse_GeneID	Horse_Symbol
212	ALAS2	100060580	ALAS2
214	ALCAM	100061848	ALCAM
216	ALDH1A1	100054931	ALDH1A1
218	ALDH3A1	100073157	ALDH3A1
220	ALDH1A3	100057072	ALDH1A3
221	ALDH3B1	100053339	ALDH3B1
224	ALDH3A2	100073165	ALDH3A2
229	ALDOB	100054480	ALDOB
231	AKR1B1	100065145	AKR1B1
240	ALOX5	100062042	ALOX5
241	ALOX5AP	100034178	ALOX5AP
242	ALOX12B	100062323	ALOX12B
249	ALPL	100058275	ALPL
257	ALX3	100058414	ALX3
259	AMBP	100051766	AMBP
265	AMELX	100049799	AMELX
267	AMFR	100061759	AMFR
269	AMHR2	100063905	AMHR2
270	AMPD1	100065374	AMPD1
271	AMPD2	100061723	AMPD2
272	AMPD3	100055812	AMPD3
274	BIN1	100052213	BIN1
275	AMT	100053253	AMT
283	ANG	100034041	ANG
284	ANGPT1	100056482	ANGPT1
285	ANGPT2	100051890	ANGPT2
286	ANK1	100055459	ANK1
288	ANK3	100062775	ANK3
301	ANXA1	100033940	ANXA1
306	ANXA3	100059394	ANXA3
307	ANXA4	100050657	ANXA4
308	ANXA5	100072241	ANXA5
309	ANXA6	100071569	ANXA6
310	ANXA7	100072856	ANXA7
312	ANXA13	100067174	ANXA13
313	AOAH	100055508	AOAH
314	AOC2	100630218	AOC2
317	APAF1	100052552	APAF1
318	NUDT2	100054044	NUDT2
320	APBA1	100056735	APBA1
321	APBA2	100059336	APBA2
323	APBB2	100054890	APBB2
324	APC	100064431	APC
329	BIRC2	100061273	BIRC2
330	BIRC3	100068894	BIRC3
331	XIAP	100060870	XIAP
333	APLP1	100060016	APLP1
337	APOA4	100062506	APOA4
338	APOB	100071824	APOB
343	AQP8	100061706	AQP8
345	APOC3	111774219	APOC3
346	APOC4	100065506	APOC4
347	APOD	100069410	APOD
348	APOE	100065481	APOE
350	APOH	100063250	APOH
351	APP	100066294	APP
355	FAS	100071639	FAS
356	FASLG	100052326	FASLG
357	SHROOM2	100052577	SHROOM2
359	AQP2	100059758	AQP2
360	AQP3	100053851	AQP3
361	AQP4	100051905	AQP4
363	AQP6	100629869	AQP6
364	AQP7	100068324	AQP7
366	AQP9	100054508	AQP9
367	AR	100033980	AR
368	ABCC6	100053637	ABCC6
369	ARAF	100061212	ARAF
372	ARCN1	100063087	ARCN1
374	AREG	100050528	AREG
379	ARL4D	100051867	ARL4D
382	ARF6	100065920	ARF6
383	ARG1	100073086	ARG1
388	RHOB	100056328	RHOB
390	RND3	100050088	RND3
391	RHOG	100066358	RHOG
392	ARHGAP1	100050810	ARHGAP1
393	ARHGAP4	100057993	ARHGAP4
394	ARHGAP5	100056199	ARHGAP5
395	ARHGAP6	100147041	ARHGAP6
397	ARHGDIB	100064001	ARHGDIB
398	ARHGDIG	100146456	ARHGDIG
399	RHOH	100054984	RHOH
400	ARL1	100052976	ARL1
401	PHOX2A	100052674	PHOX2A
402	ARL2	100056286	ARL2
405	ARNT	100059178	ARNT
406	BMAL1	100034115	ARNTL
408	ARRB1	100064657	ARRB1
409	ARRB2	100072892	ARRB2
411	ARSB	100073268	ARSB
412	STS	100034102	STS
415	ARSL	100064693	ARSL
417	ART1	100052937	ART1
419	ART3	100051066	ART3
420	ART4	100067242	ART4
421	ARVCF	100050796	ARVCF
432	ASGR1	100061471	ASGR1
434	ASIP	100054335	ASIP
438	ASMT	100146729	ASMT
439	GET3	100063417	GET3
443	ASPA	100060454	ASPA
445	ASS1	100069776	ASS1
460	ASTN1	100062059	ASTN1
462	SERPINC1	100061173	SERPINC1
463	ZFHX3	100054244	ZFHX3
466	ATF1	100060298	ATF1
467	ATF3	100050849	ATF3
471	ATIC	100054298	ATIC
472	ATM	100061765	ATM
473	RERE	100051942	RERE
474	ATOH1	100064944	ATOH1
478	ATP1A3	100069796	ATP1A3
480	ATP1A4	100058301	ATP1A4
481	ATP1B1	100033968	ATP1B1
482	ATP1B2	100073014	ATP1B2
483	ATP1B3	100062895	ATP1B3
487	ATP2A1	100064403	ATP2A1
488	ATP2A2	791242	ATP2A2
489	ATP2A3	100072684	ATP2A3
490	ATP2B1	100051636	ATP2B1
491	ATP2B2	100034081	ATP2B2
492	ATP2B3	100057711	ATP2B3
493	ATP2B4	100049920	ATP2B4
495	ATP4A	100147108	ATP4A
496	ATP4B	100069135	ATP4B
498	ATP5F1A	100053178	ATP5F1A
509	ATP5F1C	100069978	ATP5F1C
517	ATP5MC2	100064131	ATP5MC2
518	ATP5MC3	100053347	ATP5MC3
523	ATP6V1A	100061223	ATP6V1A
525	ATP6V1B1	100050282	ATP6V1B1
526	ATP6V1B2	100055525	ATP6V1B2
528	ATP6V1C1	100056307	ATP6V1C1
534	ATP6V1G2	102150189	ATP6V1G2
535	ATP6V0A1	100052802	ATP6V0A1
538	ATP7A	100071762	ATP7A
539	ATP5PO	100052131	ATP5PO
540	ATP7B	100052751	ATP7B
545	ATR	100062529	ATR
546	ATRX	100072678	ATRX
547	KIF1A	100057836	KIF1A
549	AUH	100064392	AUH
552	AVPR1A	100056176	AVPR1A
553	AVPR1B	100055260	AVPR1B
554	AVPR2	100059066	AVPR2
558	AXL	100064907	AXL
563	AZGP1	100067197	AZGP1
566	AZU1	100146319	AZU1
571	BACH1	100053654	BACH1
572	BAD	100055447	BAD
575	ADGRB1	102148282	ADGRB1
576	ADGRB2	100070436	ADGRB2
577	ADGRB3	100057127	ADGRB3
578	BAK1	100061755	BAK1
579	NKX3-2	100069194	NKX3-2
580	BARD1	100053962	BARD1
581	BAX	100054674	BAX
582	BBS1	100629509	BBS1
585	BBS4	100063282	BBS4
586	BCAT1	100068713	BCAT1
593	BCKDHA	100068678	BCKDHA
596	BCL2	100050934	BCL2
597	BCL2A1	100049938	BCL2A1
598	BCL2L1	100053597	BCL2L1
599	BCL2L2	100055644	BCL2L2
604	BCL6	100059642	BCL6
607	BCL9	100065022	BCL9
608	TNFRSF17	100055833	TNFRSF17
617	BCS1L	100055811	BCS1L
622	BDH1	100069438	BDH1
623	BDKRB1	100054699	BDKRB1
627	BDNF	100009689	BDNF
629	CFB	100051124	CFB
631	BFSP1	100062535	BFSP1
633	BGN	100033879	BGN
635	BHMT	100073265	BHMT
638	BIK	102150906	BIK
639	PRDM1	100071967	PRDM1
640	BLK	100065099	BLK
641	BLM	100053387	BLM
644	BLVRA	100064761	BLVRA
646	BNC1	100068031	BNC1
648	BMI1	102148742	BMI1
649	BMP1	100056914	BMP1
650	BMP2	100051701	BMP2
651	BMP3	100060322	BMP3
654	BMP6	100033934	BMP6
655	BMP7	100050299	BMP7
657	BMPR1A	100064367	BMPR1A
658	BMPR1B	100053554	BMPR1B
660	BMX	100051025	BMX
662	BNIP1	100069728	BNIP1
663	BNIP2	100068048	BNIP2
664	BNIP3	100051673	BNIP3
665	BNIP3L	100054317	BNIP3L
666	BOK	100147141	BOK
667	DST	100056885	DST
668	FOXL2	111768425	FOXL2
669	BPGM	100065115	BPGM
671	BPI	100070091	BPI
673	BRAF	100065760	BRAF
675	BRCA2	100064578	BRCA2
676	BRDT	100051647	BRDT
677	ZFP36L1	100063597	ZFP36L1
678	ZFP36L2	100069189	ZFP36L2
680	BRS3	100054718	BRS3
683	BST1	100068968	BST1
684	BST2	100146856	BST2
687	KLF9	100050300	KLF9
688	KLF5	100052058	KLF5
689	BTF3	100065663	BTF3
694	BTG1	100629230	BTG1
695	BTK	100057626	BTK
696	BTN1A1	100065802	BTN1A1
699	BUB1	100064049	BUB1
701	BUB1B	100629735	BUB1B
705	BYSL	100066546	BYSL
708	C1QBP	100072802	C1QBP
712	C1QA	100058097	C1QA
713	C1QB	100071667	C1QB
714	C1QC	100058056	C1QC
715	C1R	100060297	C1R
716	C1S	100060261	C1S
719	C3AR1	100053275	C3AR1
722	C4BPA	100056222	C4BPA
726	CAPN5	100063478	CAPN5
727	C5	100067655	C5
728	C5AR1	100065997	C5AR1
729	C6	100065952	C6
730	C7	100066126	C7
731	C8A	100059461	C8A
732	C8B	100059423	C8B
734	OSGIN2	100053523	OSGIN2
735	C9	100034183	C9
740	MRPL49	100056723	MRPL49
741	ZNHIT2	100056638	ZNHIT2
744	MPPED2	100072564	MPPED2
745	MYRF	100059805	MYRF
747	DAGLA	100059772	DAGLA
752	FMNL1	100064045	FMNL1
753	LDLRAD4	100050261	LDLRAD4
755	CFAP410	100050601	CFAP410
757	TMEM50B	100052430	TMEM50B
758	MPPED1	100050170	MPPED1
759	CA1	100050192	CA1
760	CA2	100050059	CA2
761	CA3	100050125	CA3
762	CA4	100071384	CA4
763	CA5A	100070642	CA5A
766	CA7	100065583	CA7
767	CA8	100052678	CA8
771	CA12	100054028	CA12
774	CACNA1B	100058760	CACNA1B
776	CACNA1D	100051186	CACNA1D
778	CACNA1F	100062861	CACNA1F
780	DDR1	100050861	DDR1
781	CACNA2D1	100057533	CACNA2D1
782	CACNB1	100055054	CACNB1
783	CACNB2	100055971	CACNB2
784	CACNB3	100051367	CACNB3
785	CACNB4	100057916	CACNB4
786	CACNG1	100053535	CACNG1
788	SLC25A20	100063527	SLC25A20
790	CAD	100055366	CAD
793	CALB1	100034057	CALB1
794	CALB2	100068401	CALB2
795	S100G	100033995	S100G
800	CALD1	100068106	CALD1
813	CALU	100056849	CALU
814	CAMK4	100073192	CAMK4
815	CAMK2A	100071654	CAMK2A
816	CAMK2B	100146368	CAMK2B
817	CAMK2D	100072618	CAMK2D
822	CAPG	100053297	CAPG
823	CAPN1	100051106	CAPN1
824	CAPN2	100055184	CAPN2
825	CAPN3	100056798	CAPN3
826	CAPNS1	100051987	CAPNS1
827	CAPN6	100054264	CAPN6
829	CAPZA1	100063967	CAPZA1
830	CAPZA2	100071181	CAPZA2
832	CAPZB	100071897	CAPZB
833	CARS1	100060138	CARS1
835	CASP2	100050611	CASP2
836	CASP3	100034083	CASP3
839	CASP6	100072861	CASP6
840	CASP7	100068258	CASP7
842	CASP9	100054331	CASP9
843	CASP10	100068201	CASP10
845	CASQ2	100059622	CASQ2
846	CASR	100034084	CASR
847	CAT	100060647	CAT
857	CAV1	100055975	CAV1
858	CAV2	100071136	CAV2
861	RUNX1	100051950	RUNX1
863	CBFA2T3	100051426	CBFA2T3
864	RUNX3	100071400	RUNX3
865	CBFB	100065726	CBFB
866	SERPINA6	100065007	SERPINA6
867	CBL	100071403	CBL
868	CBLB	100061819	CBLB
869	CBLN1	100050105	CBLN1
883	KYAT1	100070151	KYAT1
885	CCK	100055193	CCK
886	CCKAR	100055506	CCKAR
887	CCKBR	100055073	CCKBR
889	KRIT1	100050998	KRIT1
891	CCNB1	100050093	CCNB1
892	CCNC	100066119	CCNC
896	CCND3	100066590	CCND3
900	CCNG1	100059534	CCNG1
901	CCNG2	111772881	LOC111772881
902	CCNH	100065185	CCNH
905	CCNT2	100050510	CCNT2
915	CD3D	100062931	CD3D
916	CD3E	100629532	CD3E
917	CD3G	100062960	CD3G
919	CD247	100051432	CD247
920	CD4	100052502	CD4
921	CD5	100062143	CD5
922	CD5L	100054450	CD5L
923	CD6	100062081	CD6
925	CD8A	100066774	CD8A
930	CD19	100147468	CD19
931	MS4A1	100059000	MS4A1
932	MS4A3	100061118	MS4A3
933	CD22	100146402	CD22
939	CD27	100630357	CD27
941	CD80	100071012	CD80
942	CD86	100060767	CD86
943	TNFRSF8	100055885	TNFRSF8
944	TNFSF8	100051061	TNFSF8
948	CD36	100049847	CD36
949	SCARB1	100061529	SCARB1
950	SCARB2	100058151	SCARB2
951	CD37	100055274	CD37
952	CD38	100068959	CD38
953	ENTPD1	100070956	ENTPD1
955	ENTPD6	100057043	ENTPD6
957	ENTPD5	100056466	ENTPD5
958	CD40	100034049	CD40
959	CD40LG	100054624	CD40LG
960	CD44	100034221	CD44
961	CD47	100071854	CD47
965	CD58	100066062	CD58
966	CD59	106781397	CD59
967	CD63	100051450	CD63
969	CD69	100053615	CD69
971	CD72	100146910	CD72
972	CD74	100071644	CD74
973	CD79A	100052219	CD79A
974	CD79B	100064460	CD79B
976	ADGRE5	111774270	ADGRE5
983	CDK1	100072299	CDK1
987	LRBA	102149621	LRBA
989	SEPTIN7	100070492	SEPTIN7
990	CDC6	100067788	CDC6
993	CDC25A	100064223	CDC25A
995	CDC25C	100062352	CDC25C
996	CDC27	100054552	CDC27
997	CDC34	100051527	CDC34
998	CDC42	100058188	CDC42
999	CDH1	100066844	CDH1
1000	CDH2	100065078	CDH2
1001	CDH3	100066779	CDH3
1002	CDH4	100057648	CDH4
1004	CDH6	100068795	CDH6
1005	CDH7	100051783	CDH7
1007	CDH9	100054286	CDH9
1009	CDH11	100052714	CDH11
1010	CDH12	100054380	CDH12
1013	CDH15	100051771	CDH15
1014	CDH16	100052822	CDH16
1016	CDH18	100054426	CDH18
1019	CDK4	100051005	CDK4
1021	CDK6	100061625	CDK6
1024	CDK8	100050819	CDK8
1028	CDKN1C	100630277	CDKN1C
1031	CDKN2C	100051195	CDKN2C
1033	CDKN3	100056254	CDKN3
1039	CDR2	100058348	CDR2
1041	CDSN	100054766	CDSN
1043	CD52	111772400	CD52
1044	CDX1	100071660	CDX1
1045	CDX2	100051406	CDX2
1046	CDX4	100059663	CDX4
1047	CLGN	111772553	LOC111772553
1050	CEBPA	111775177	CEBPA
1051	CEBPB	100071474	CEBPB
1052	CEBPD	100630345	CEBPD
1053	CEBPE	100052512	CEBPE
1054	CEBPG	100630820	CEBPG
1056	CEL	100066592	CEL
1059	CENPB	100146426	CENPB
1060	CENPC	100067221	CENPC
1062	CENPE	100068227	CENPE
1063	CENPF	100050180	CENPF
1073	CFL2	100050494	CFL2
1075	CTSC	100060401	CTSC
1080	CFTR	100071259	CFTR
1101	CHAD	100147607	CHAD
1102	RCBTB2	100057039	RCBTB2
1106	CHD2	100629986	CHD2
1107	CHD3	100073035	CHD3
1108	CHD4	100059817	CHD4
1112	FOXN3	100052973	FOXN3
1114	CHGB	100051883	CHGB
1116	CHI3L1	100052556	CHI3L1
1118	CHIT1	100065255	CHIT1
1120	CHKB	100055480	CHKB
1121	CHM	100072281	CHM
1122	CHML	100054779	CHML
1123	CHN1	100065187	CHN1
1128	CHRM1	100064117	CHRM1
1129	CHRM2	100064906	CHRM2
1130	LYST	100050724	LYST
1131	CHRM3	100056633	CHRM3
1132	CHRM4	102147631	CHRM4
1133	CHRM5	100057856	CHRM5
1134	CHRNA1	100065034	CHRNA1
1138	CHRNA5	100060416	CHRNA5
1140	CHRNB1	100072990	CHRNB1
1141	CHRNB2	102150777	CHRNB2
1142	CHRNB3	100054095	CHRNB3
1143	CHRNB4	100060486	CHRNB4
1144	CHRND	100064682	CHRND
1145	CHRNE	100146223	CHRNE
1146	CHRNG	100057215	CHRNG
1147	CHUK	100070393	CHUK
1152	CKB	100055201	CKB
1158	CKM	100065641	CKM
1159	CKMT1B	100056283	CKMT1B
1160	CKMT2	100073253	CKMT2
1161	ERCC8	100051199	ERCC8
1163	CKS1B	100630884	CKS1B
1173	AP2M1	100058961	AP2M1
1179	CLCA1	100009706	CLCA1
1180	CLCN1	100050692	CLCN1
1181	CLCN2	100067143	CLCN2
1182	CLCN3	100061225	CLCN3
1183	CLCN4	100049933	CLCN4
1184	CLCN5	100052289	CLCN5
1185	CLCN6	100056209	CLCN6
1186	CLCN7	100067691	CLCN7
1191	CLU	100034172	CLU
1193	CLIC2	100062829	CLIC2
1198	CLK3	100062320	CLK3
1200	TPP1	100070095	TPP1
1201	CLN3	100064282	CLN3
1203	CLN5	100052699	CLN5
1207	CLNS1A	100063117	CLNS1A
1208	CLPS	100053646	CLPS
1209	CLPTM1	100070653	CLPTM1
1211	CLTA	100055375	CLTA
1212	CLTB	100068882	CLTB
1230	CCR1	100065466	CCR1
1232	CCR3	100065437	CCR3
1233	CCR4	100056549	CCR4
1234	CCR5	100048935	CCR5
1235	CCR6	100055159	CCR6
1236	CCR7	100067673	CCR7
1237	CCR8	100055409	CCR8
1238	ACKR2	100067183	ACKR2
1240	CMKLR1	100059916	CMKLR1
1244	ABCC2	100060654	ABCC2
1260	CNGA2	100069276	CNGA2
1261	CNGA3	100061333	CNGA3
1262	CNGA4	100055033	CNGA4
1264	CNN1	100054768	CNN1
1266	CNN3	100058159	CNN3
1268	CNR1	100065681	CNR1
1269	CNR2	100071536	CNR2
1272	CNTN1	100049925	CNTN1
1278	COL1A2	100051715	COL1A2
1280	COL2A1	791241	COL2A1
1282	COL4A1	100066148	COL4A1
1284	COL4A2	100066264	COL4A2
1285	COL4A3	100037402	COL4A3
1286	COL4A4	100062160	COL4A4
1287	COL4A5	100054545	COL4A5
1288	COL4A6	100060112	COL4A6
1289	COL5A1	100069057	COL5A1
1291	COL6A1	100050035	COL6A1
1292	COL6A2	100055332	COL6A2
1293	COL6A3	100066356	COL6A3
1295	COL8A1	100062187	COL8A1
1296	COL8A2	100069339	COL8A2
1297	COL9A1	100057208	COL9A1
1298	COL9A2	100009713	COL9A2
1299	COL9A3	100058660	COL9A3
1300	COL10A1	100066959	COL10A1
1301	COL11A1	100049922	COL11A1
1302	COL11A2	100061226	COL11A2
1303	COL12A1	100033858	COL12A1
1305	COL13A1	100072695	COL13A1
1306	COL15A1	100063829	COL15A1
1307	COL16A1	100056083	COL16A1
1310	COL19A1	100070855	COL19A1
1311	COMP	100033911	COMP
1315	COPB1	100056177	COPB1
1317	SLC31A1	100050369	SLC31A1
1318	SLC31A2	100053455	SLC31A2
1326	MAP3K8	100063602	MAP3K8
1349	COX7B	100630758	COX7B
1351	COX8A	111775959	COX8A
1353	COX11	100056543	COX11
1355	COX15	100060721	COX15
1356	CP	100058573	CP
1360	CPB1	100058959	CPB1
1363	CPE	100061513	CPE
1364	CLDN4	100059948	CLDN4
1365	CLDN3	100059922	CLDN3
1366	CLDN7	100072960	CLDN7
1368	CPM	100059473	CPM
1369	CPN1	100070412	CPN1
1370	CPN2	100630228	CPN2
1371	CPOX	100072394	CPOX
1373	CPS1	100050116	CPS1
1374	CPT1A	100009716	CPT1A
1381	CRABP1	100050413	CRABP1
1384	CRAT	100070062	CRAT
1385	CREB1	100066388	CREB1
1386	ATF2	100053304	ATF2
1387	CREBBP	100069613	CREBBP
1388	ATF6B	100059348	ATF6B
1389	CREBL2	100063510	CREBL2
1390	CREM	100054937	CREM
1392	CRH	100063840	CRH
1394	CRHR1	100065598	CRHR1
1395	CRHR2	100055029	CRHR2
1398	CRK	100072356	CRK
1400	CRMP1	100070014	CRMP1
1401	CRP	100057752	CRP
1404	HAPLN1	100034208	HAPLN1
1406	CRX	102148484	CRX
1412	CRYBA2	100058931	CRYBA2
1413	CRYBA4	100065046	CRYBA4
1414	CRYBB1	100065077	CRYBB1
1415	CRYBB2	100059550	CRYBB2
1417	CRYBB3	100059587	CRYBB3
1427	CRYGS	100059387	CRYGS
1428	CRYM	100057895	CRYM
1429	CRYZ	100053415	CRYZ
1432	MAPK14	100063532	MAPK14
1434	CSE1L	100056886	CSE1L
1435	CSF1	100146493	CSF1
1439	CSF2RB	100054613	CSF2RB
1440	CSF3	100033922	CSF3
1441	CSF3R	100069253	CSF3R
1446	CSN1S1	100033982	CSN1S1
1447	CSN2	100033903	CSN2
1448	CSN3	100033983	CSN3
1452	CSNK1A1	100060556	CSNK1A1
1453	CSNK1D	100057193	CSNK1D
1454	CSNK1E	100055155	CSNK1E
1455	CSNK1G2	100147038	CSNK1G2
1456	CSNK1G3	100063886	CSNK1G3
1459	CSNK2A2	100063080	CSNK2A2
1460	CSNK2B	100058658	CSNK2B
1462	VCAN	100065275	VCAN
1463	NCAN	100147158	NCAN
1471	CST3	100058494	CST3
1474	CST6	100057960	CST6
1477	CSTF1	100050229	CSTF1
1478	CSTF2	100057347	CSTF2
1482	NKX2-5	100069632	NKX2-5
1486	CTBS	100064763	CTBS
1487	CTBP1	100052216	CTBP1
1488	CTBP2	100056830	CTBP2
1490	CCN2	100073098	CCN2
1491	CTH	100053614	CTH
1493	CTLA4	100067931	CTLA4
1495	CTNNA1	100072548	CTNNA1
1496	CTNNA2	100053393	CTNNA2
1497	CTNS	100060554	CTNS
1499	CTNNB1	100055241	CTNNB1
1500	CTNND1	100067065	CTNND1
1501	CTNND2	100070792	CTNND2
1503	CTPS1	100053845	CTPS1
1508	CTSB	100060963	CTSB
1510	CTSE	100055161	CTSE
1512	CTSH	111775628	LOC111775628
1514	CTSL	100061532	CTSL
1519	CTSO	100069500	CTSO
1520	CTSS	100054948	CTSS
1522	CTSZ	100056600	CTSZ
1524	CX3CR1	100068350	CX3CR1
1525	CXADR	100067795	CXADR
1536	CYBB	100050132	CYBB
1538	CYLC1	100072401	CYLC1
1540	CYLD	100050308	CYLD
1543	CYP1A1	100062285	CYP1A1
1544	CYP1A2	100062244	CYP1A2
1545	CYP1B1	100070088	CYP1B1
1571	CYP2E1	100066422	CYP2E1
1581	CYP7A1	100052888	CYP7A1
1588	CYP19A1	100009712	CYP19A1
1589	CYP21A2	100059277	CYP21A1
1591	CYP24A1	100053452	CYP24A1
1592	CYP26A1	100061805	CYP26A1
1593	CYP27A1	100055936	CYP27A1
1595	CYP51A1	100050921	CYP51A1
1600	DAB1	100049825	DAB1
1601	DAB2	100066655	DAB2
1605	DAG1	100053150	DAG1
1606	DGKA	100051662	DGKA
1607	DGKB	100052717	DGKB
1608	DGKG	100067985	DGKG
1609	DGKQ	100051976	DGKQ
1610	DAO	100059819	DAO
1612	DAPK1	100061567	DAPK1
1613	DAPK3	100061244	DAPK3
1615	DARS1	100050898	DARS1
1616	DAXX	100146901	DAXX
1618	DAZL	100063430	DAZL
1620	BRINP1	100066915	BRINP1
1621	DBH	791247	DBH
1622	DBI	100049822	DBI
1627	DBN1	100068529	DBN1
1628	DBP	100146301	DBP
1629	DBT	100050317	DBT
1630	DCC	100054013	DCC
1633	DCK	100054704	DCK
1634	DCN	100034120	DCN
1635	DCTD	100051279	DCTD
1636	ACE	100064801	ACE
1638	DCT	100058776	DCT
1639	DCTN1	100053938	DCTN1
1641	DCX	100058909	DCX
1644	DDC	100052557	DDC
1649	DDIT3	100053417	DDIT3
1650	DDOST	100071776	DDOST
1652	DDT	100053419	DDT
1653	DDX1	100072175	DDX1
1654	DDX3X	100058480	DDX3X
1655	DDX5	100064168	DDX5
1656	DDX6	100063116	DDX6
1657	DMXL1	100064119	DMXL1
1659	DHX8	100051804	DHX8
1663	DDX11	100057138	DDX11
1665	DHX15	100055672	DHX15
1666	DECR1	100053423	DECR1
1672	DEFB1	102150198	DEFB1
1674	DES	100059397	DES
1676	DFFA	100057041	DFFA
1677	DFFB	100060427	DFFB
1687	GSDME	100033992	GSDME
1690	COCH	100055742	COCH
1716	DGUOK	100057605	DGUOK
1717	DHCR7	100061433	DHCR7
1719	DHFR	100073256	DHFR
1723	DHODH	100067925	DHODH
1728	NQO1	100067237	NQO1
1729	DIAPH1	100072186	DIAPH1
1730	DIAPH2	100057058	DIAPH2
1731	SEPTIN1	100065662	SEPTIN1
1734	DIO2	100052547	DIO2
1735	DIO3	100146344	DIO3
1736	DKC1	100062345	DKC1
1738	DLD	100050920	DLD
1739	DLG1	100060094	DLG1
1740	DLG2	100050929	DLG2
1741	DLG3	100146394	DLG3
1742	DLG4	100061544	DLG4
1743	DLST	100057047	DLST
1745	DLX1	100053103	DLX1
1746	DLX2	100063859	DLX2
1747	DLX3	100146218	DLX3
1748	DLX4	111775662	DLX4
1749	DLX5	100052263	DLX5
1750	DLX6	100063298	DLX6
1756	DMD	100051515	DMD
1757	SARDH	100069193	SARDH
1758	DMP1	100063014	DMP1
1759	DNM1	100070282	DNM1
1761	DMRT1	100057454	DMRT1
1763	DNA2	100072606	DNA2
1767	DNAH5	100070308	DNAH5
1768	DNAH6	100067558	DNAH6
1769	DNAH8	100065248	DNAH8
1775	DNASE1L2	100065713	DNASE1L2
1776	DNASE1L3	100057863	DNASE1L3
1778	DYNC1H1	100058101	DYNC1H1
1780	DYNC1I1	100052139	DYNC1I1
1781	DYNC1I2	100053015	DYNC1I2
1785	DNM2	100057627	DNM2
1787	TRDMT1	100068465	TRDMT1
