Human_Entrez_ID	Human_Symbol	Mouse_Entrez_ID	Mouse_Symbol
115	ADCY9	11515	Adcy9
116	ADCYAP1	11516	Adcyap1
117	ADCYAP1R1	11517	Adcyap1r1
118	ADD1	11518	Add1
119	ADD2	11519	Add2
120	ADD3	27360	Add3
123	PLIN2	11520	Plin2
126	ADH1C	11522	Adh1
127	ADH4	26876	Adh4
128	ADH5	11532	Adh5
131	ADH7	11529	Adh7
132	ADK	11534	Adk
133	ADM	11535	Adm
134	ADORA1	11539	Adora1
135	ADORA2A	11540	Adora2a
136	ADORA2B	11541	Adora2b
141	ADPRH	11544	Adprh
142	PARP1	11545	Parp1
143	PARP4	328417	Parp4
146	ADRA1D	11550	Adra1d
147	ADRA1B	11548	Adra1b
148	ADRA1A	11549	Adra1a
150	ADRA2A	11551	Adra2a
151	ADRA2B	11552	Adra2b
152	ADRA2C	11553	Adra2c
153	ADRB1	11554	Adrb1
154	ADRB2	11555	Adrb2
155	ADRB3	11556	Adrb3
156	GRK2	110355	Grk2
157	GRK3	320129	Grk3
158	ADSL	11564	Adsl
159	ADSS2	11566	Adss2
160	AP2A1	11771	Ap2a1
161	AP2A2	11772	Ap2a2
162	AP1B1	11764	Ap1b1
163	AP2B1	71770	Ap2b1
164	AP1G1	11765	Ap1g1
165	AEBP1	11568	Aebp1
166	TLE5	14797	Tle5
167	CRISP1	11571	Crisp1
173	AFM	280662	Afm
174	AFP	11576	Afp
175	AGA	11593	Aga
176	ACAN	11595	Acan
177	AGER	11596	Ager
178	AGL	77559	Agl
181	AGRP	11604	Agrp
182	JAG1	16449	Jag1
183	AGT	11606	Agt
185	AGTR1	11608	Agtr1b
186	AGTR2	11609	Agtr2
187	APLNR	23796	Aplnr
189	AGXT	11611	Agxt
190	NR0B1	11614	Nr0b1
191	AHCY	269378	Ahcy
196	AHR	11622	Ahr
197	AHSG	11625	Ahsg
199	AIF1	11629	Aif1
202	CRYBG1	11630	Crybg1
203	AK1	11636	Ak1
204	AK2	11637	Ak2
205	AK4	11639	Ak4
207	AKT1	11651	Akt1
208	AKT2	11652	Akt2
210	ALAD	17025	Alad
211	ALAS1	11655	Alas1
212	ALAS2	11656	Alas2
213	ALB	11657	Alb
214	ALCAM	11658	Alcam
215	ABCD1	11666	Abcd1
217	ALDH2	11669	Aldh2
218	ALDH3A1	11670	Aldh3a1
219	ALDH1B1	72535	Aldh1b1
220	ALDH1A3	56847	Aldh1a3
221	ALDH3B1	67689	Aldh3b1
223	ALDH9A1	56752	Aldh9a1
225	ABCD2	26874	Abcd2
226	ALDOA	11674	Aldoa
229	ALDOB	230163	Aldob
230	ALDOC	11676	Aldoc
231	AKR1B1	11677	Akr1b1
238	ALK	11682	Alk
239	ALOX12	11684	Alox12
240	ALOX5	11689	Alox5
241	ALOX5AP	11690	Alox5ap
242	ALOX12B	11686	Alox12b
247	ALOX15B	11688	Alox8
248	ALPI	76768	Alpi
249	ALPL	11647	Alpl
257	ALX3	11694	Alx3
258	AMBN	11698	Ambn
259	AMBP	11699	Ambp
262	AMD1	11702	Amd1
265	AMELX	11704	Amelx
267	AMFR	23802	Amfr
268	AMH	11705	Amh
269	AMHR2	110542	Amhr2
270	AMPD1	229665	Ampd1
271	AMPD2	109674	Ampd2
272	AMPD3	11717	Ampd3
273	AMPH	218038	Amph
274	BIN1	30948	Bin1
275	AMT	434437	Amt
283	ANG	11727	Ang
284	ANGPT1	11600	Angpt1
285	ANGPT2	11601	Angpt2
286	ANK1	11733	Ank1
287	ANK2	109676	Ank2
288	ANK3	11735	Ank3
290	ANPEP	16790	Anpep
291	SLC25A4	11739	Slc25a4
292	SLC25A5	11740	Slc25a5
301	ANXA1	16952	Anxa1
302	ANXA2	12306	Anxa2
306	ANXA3	11745	Anxa3
307	ANXA4	11746	Anxa4
308	ANXA5	11747	Anxa5
309	ANXA6	11749	Anxa6
310	ANXA7	11750	Anxa7
311	ANXA11	11744	Anxa11
312	ANXA13	69787	Anxa13
313	AOAH	27052	Aoah
314	AOC2	237940	Aoc2
316	AOX1	11761	Aox1
317	APAF1	11783	Apaf1
318	NUDT2	66401	Nudt2
319	APOF	103161	Apof
320	APBA1	319924	Apba1
321	APBA2	11784	Apba2
322	APBB1	11785	Apbb1
323	APBB2	11787	Apbb2
324	APC	11789	Apc
325	APCS	20219	Apcs
326	AIRE	11634	Aire
327	APEH	235606	Apeh
328	APEX1	11792	Apex1
329	BIRC2	11797	Birc2
331	XIAP	11798	Xiap
332	BIRC5	11799	Birc5
333	APLP1	11803	Aplp1
334	APLP2	11804	Aplp2
335	APOA1	11806	Apoa1
336	APOA2	11807	Apoa2
337	APOA4	11808	Apoa4
338	APOB	238055	Apob
339	APOBEC1	11810	Apobec1
341	APOC1	11812	Apoc1
343	AQP8	11833	Aqp8
344	APOC2	11813	Apoc2
345	APOC3	11814	Apoc3
346	APOC4	11425	Apoc4
347	APOD	11815	Apod
348	APOE	11816	Apoe
350	APOH	11818	Apoh
351	APP	11820	App
353	APRT	11821	Aprt
355	FAS	14102	Fas
356	FASLG	14103	Fasl
357	SHROOM2	110380	Shroom2
358	AQP1	11826	Aqp1
359	AQP2	11827	Aqp2
360	AQP3	11828	Aqp3
361	AQP4	11829	Aqp4
362	AQP5	11830	Aqp5
363	AQP6	11831	Aqp6
364	AQP7	11832	Aqp7
366	AQP9	64008	Aqp9
367	AR	11835	Ar
368	ABCC6	27421	Abcc6
369	ARAF	11836	Araf
372	ARCN1	213827	Arcn1
373	TRIM23	81003	Trim23
374	AREG	11839	Areg
375	ARF1	11840	Arf1
377	ARF3	11842	Arf3
378	ARF4	11843	Arf4
379	ARL4D	80981	Arl4d
381	ARF5	11844	Arf5
382	ARF6	11845	Arf6
383	ARG1	11846	Arg1
384	ARG2	11847	Arg2
387	RHOA	11848	Rhoa
388	RHOB	11852	Rhob
389	RHOC	11853	Rhoc
390	RND3	74194	Rnd3
391	RHOG	56212	Rhog
392	ARHGAP1	228359	Arhgap1
393	ARHGAP4	171207	Arhgap4
394	ARHGAP5	11855	Arhgap5
395	ARHGAP6	11856	Arhgap6
396	ARHGDIA	192662	Arhgdia
397	ARHGDIB	11857	Arhgdib
398	ARHGDIG	14570	Arhgdig
399	RHOH	74734	Rhoh
400	ARL1	104303	Arl1
401	PHOX2A	11859	Phox2a
402	ARL2	56327	Arl2
403	ARL3	56350	Arl3
405	ARNT	11863	Arnt
406	BMAL1	11865	Bmal1
407	ARR3	170735	Arr3
408	ARRB1	109689	Arrb1
409	ARRB2	216869	Arrb2
410	ARSA	11883	Arsa
411	ARSB	11881	Arsb
412	STS	20905	Sts
417	ART1	11870	Art1
419	ART3	109979	Art3
420	ART4	109978	Art4
421	ARVCF	11877	Arvcf
427	ASAH1	11886	Asah1
429	ASCL1	17172	Ascl1
430	ASCL2	17173	Ascl2
433	ASGR2	11890	Asgr2
434	ASIP	50518	a
435	ASL	109900	Asl
438	ASMT	107626	Asmt
439	GET3	56495	Get3
440	ASNS	27053	Asns
443	ASPA	11484	Aspa
444	ASPH	65973	Asph
445	ASS1	11898	Ass1
460	ASTN1	11899	Astn1
462	SERPINC1	11905	Serpinc1
463	ZFHX3	11906	Zfhx3
466	ATF1	11908	Atf1
467	ATF3	11910	Atf3
468	ATF4	11911	Atf4
471	ATIC	108147	Atic
472	ATM	11920	Atm
473	RERE	68703	Rere
474	ATOH1	11921	Atoh1
475	ATOX1	11927	Atox1
476	ATP1A1	11928	Atp1a1
478	ATP1A3	232975	Atp1a3
479	ATP12A	192113	Atp12a
480	ATP1A4	27222	Atp1a4
481	ATP1B1	11931	Atp1b1
482	ATP1B2	11932	Atp1b2
483	ATP1B3	11933	Atp1b3
486	FXYD2	11936	Fxyd2
487	ATP2A1	11937	Atp2a1
488	ATP2A2	11938	Atp2a2
489	ATP2A3	53313	Atp2a3
490	ATP2B1	67972	Atp2b1
491	ATP2B2	11941	Atp2b2
492	ATP2B3	320707	Atp2b3
493	ATP2B4	381290	Atp2b4
495	ATP4A	11944	Atp4a
496	ATP4B	11945	Atp4b
498	ATP5F1A	11946	Atp5f1a
501	ALDH7A1	110695	Aldh7a1
506	ATP5F1B	11947	Atp5f1b
509	ATP5F1C	11949	Atp5f1c
513	ATP5F1D	66043	Atp5f1d
514	ATP5F1E	67126	Atp5f1e
515	ATP5PB	11950	Atp5pb
516	ATP5MC1	11951	Atp5mc1
517	ATP5MC2	67942	Atp5mc2
518	ATP5MC3	228033	Atp5mc3
521	ATP5ME	11958	Atp5me
522	ATP5PF	11957	Atp5pf
523	ATP6V1A	11964	Atp6v1a
525	ATP6V1B1	110935	Atp6v1b1
526	ATP6V1B2	11966	Atp6v1b2
527	ATP6V0C	11984	Atp6v0c
528	ATP6V1C1	66335	Atp6v1c1
529	ATP6V1E1	11973	Atp6v1e1
533	ATP6V0B	114143	Atp6v0b
534	ATP6V1G2	66237	Atp6v1g2
535	ATP6V0A1	11975	Atp6v0a1
537	ATP6AP1	54411	Atp6ap1
538	ATP7A	11977	Atp7a
539	ATP5PO	28080	Atp5po
540	ATP7B	11979	Atp7b
545	ATR	245000	Atr
546	ATRX	22589	Atrx
547	KIF1A	16560	Kif1a
549	AUH	11992	Auh
550	AUP1	11993	Aup1
551	AVP	11998	Avp
552	AVPR1A	54140	Avpr1a
553	AVPR1B	26361	Avpr1b
554	AVPR2	12000	Avpr2
558	AXL	26362	Axl
563	AZGP1	12007	Azgp1
567	B2M	12010	B2m
570	BAAT	12012	Baat
571	BACH1	12013	Bach1
572	BAD	12015	Bad
573	BAG1	12017	Bag1
575	ADGRB1	107831	Adgrb1
576	ADGRB2	230775	Adgrb2
577	ADGRB3	210933	Adgrb3
578	BAK1	12018	Bak1
579	NKX3-2	12020	Nkx3-2
580	BARD1	12021	Bard1
581	BAX	12028	Bax
582	BBS1	52028	Bbs1
583	BBS2	67378	Bbs2
585	BBS4	102774	Bbs4
586	BCAT1	12035	Bcat1
587	BCAT2	12036	Bcat2
590	BCHE	12038	Bche
593	BCKDHA	12039	Bckdha
594	BCKDHB	12040	Bckdhb
595	CCND1	12443	Ccnd1
596	BCL2	12043	Bcl2
598	BCL2L1	12048	Bcl2l1
599	BCL2L2	12050	Bcl2l2
602	BCL3	12051	Bcl3
604	BCL6	12053	Bcl6
605	BCL7A	77045	Bcl7a
607	BCL9	77578	Bcl9
608	TNFRSF17	21935	Tnfrsf17
610	HCN2	15166	Hcn2
611	OPN1SW	12057	Opn1sw
613	BCR	110279	Bcr
617	BCS1L	66821	Bcs1l
622	BDH1	71911	Bdh1
623	BDKRB1	12061	Bdkrb1
624	BDKRB2	12062	Bdkrb2
627	BDNF	12064	Bdnf
629	CFB	14962	Cfb
631	BFSP1	12075	Bfsp1
632	BGLAP	12096	Bglap
633	BGN	12111	Bgn
635	BHMT	12116	Bhmt
636	BICD1	12121	Bicd1
637	BID	12122	Bid
638	BIK	12124	Bik
639	PRDM1	12142	Prdm1
640	BLK	12143	Blk
641	BLM	12144	Blm
642	BLMH	104184	Blmh
643	CXCR5	12145	Cxcr5
644	BLVRA	109778	Blvra
645	BLVRB	233016	Blvrb
646	BNC1	12173	Bnc1
648	BMI1	12151	Bmi1
649	BMP1	12153	Bmp1
650	BMP2	12156	Bmp2
651	BMP3	110075	Bmp3
652	BMP4	12159	Bmp4
653	BMP5	12160	Bmp5
654	BMP6	12161	Bmp6
655	BMP7	12162	Bmp7
656	BMP8B	12164	Bmp8b
657	BMPR1A	12166	Bmpr1a
658	BMPR1B	12167	Bmpr1b
659	BMPR2	12168	Bmpr2
660	BMX	12169	Bmx
661	POLR3D	67065	Polr3d
662	BNIP1	224630	Bnip1
663	BNIP2	12175	Bnip2
664	BNIP3	12176	Bnip3
665	BNIP3L	12177	Bnip3l
666	BOK	51800	Bok
667	DST	13518	Dst
668	FOXL2	26927	Foxl2
669	BPGM	12183	Bpgm
670	BPHL	68021	Bphl
671	BPI	329547	Bpi
672	BRCA1	12189	Brca1
673	BRAF	109880	Braf
675	BRCA2	12190	Brca2
676	BRDT	114642	Brdt
677	ZFP36L1	12192	Zfp36l1
678	ZFP36L2	12193	Zfp36l2
680	BRS3	12209	Brs3
682	BSG	12215	Bsg
683	BST1	12182	Bst1
684	BST2	69550	Bst2
685	BTC	12223	Btc
686	BTD	26363	Btd
687	KLF9	16601	Klf9
688	KLF5	12224	Klf5
689	BTF3	218490	Btf3
694	BTG1	12226	Btg1
695	BTK	12229	Btk
696	BTN1A1	12231	Btn1a1
699	BUB1	12235	Bub1
701	BUB1B	12236	Bub1b
705	BYSL	53414	Bysl
706	TSPO	12257	Tspo
708	C1QBP	12261	C1qbp
710	SERPING1	12258	Serping1
712	C1QA	12259	C1qa
713	C1QB	12260	C1qb
714	C1QC	12262	C1qc
716	C1S	317677	C1s2
717	C2	12263	C2
718	C3	12266	C3
719	C3AR1	12267	C3ar1
726	CAPN5	12337	Capn5
727	C5	15139	Hc
728	C5AR1	12273	C5ar1
729	C6	12274	C6
730	C7	109828	C7
731	C8A	230558	C8a
732	C8B	110382	C8b
733	C8G	69379	C8g
734	OSGIN2	209212	Osgin2
735	C9	12279	C9
738	VPS51	68505	Vps51
740	MRPL49	18120	Mrpl49
741	ZNHIT2	29805	Znhit2
744	MPPED2	77015	Mpped2
745	MYRF	225908	Myrf
746	TMEM258	69038	Tmem258
747	DAGLA	269060	Dagla
752	FMNL1	57778	Fmnl1
753	LDLRAD4	52662	Ldlrad4
754	PTTG1IP	108705	Pttg1ip
755	CFAP410	67884	Cfap410
757	TMEM50B	77975	Tmem50b
758	MPPED1	223726	Mpped1
759	CA1	12346	Car1
760	CA2	12349	Car2
761	CA3	12350	Car3
762	CA4	12351	Car4
763	CA5A	12352	Car5a
765	CA6	12353	Car6
766	CA7	12354	Car7
767	CA8	12319	Car8
768	CA9	230099	Car9
770	CA11	12348	Car11
771	CA12	76459	Car12
773	CACNA1A	12286	Cacna1a
774	CACNA1B	12287	Cacna1b
775	CACNA1C	12288	Cacna1c
776	CACNA1D	12289	Cacna1d
777	CACNA1E	12290	Cacna1e
778	CACNA1F	54652	Cacna1f
779	CACNA1S	12292	Cacna1s
780	DDR1	12305	Ddr1
781	CACNA2D1	12293	Cacna2d1
782	CACNB1	12295	Cacnb1
783	CACNB2	12296	Cacnb2
784	CACNB3	12297	Cacnb3
785	CACNB4	12298	Cacnb4
786	CACNG1	12299	Cacng1
788	SLC25A20	57279	Slc25a20
790	CAD	69719	Cad
793	CALB1	12307	Calb1
794	CALB2	12308	Calb2
795	S100G	12309	S100g
796	CALCA	12310	Calca
799	CALCR	12311	Calcr
800	CALD1	109624	Cald1
801	CALM1	12313	Calm1
805	CALM2	12314	Calm2
808	CALM3	12315	Calm3
810	CALML3	70405	Calml3
811	CALR	12317	Calr
813	CALU	12321	Calu
814	CAMK4	12326	Camk4
815	CAMK2A	12322	Camk2a
816	CAMK2B	12323	Camk2b
817	CAMK2D	108058	Camk2d
818	CAMK2G	12325	Camk2g
819	CAMLG	12328	Caml
820	CAMP	12796	Camp
821	CANX	12330	Canx
822	CAPG	12332	Capg
823	CAPN1	12333	Capn1
824	CAPN2	12334	Capn2
825	CAPN3	12335	Capn3
826	CAPNS1	12336	Capns1
827	CAPN6	12338	Capn6
829	CAPZA1	12340	Capza1
830	CAPZA2	12343	Capza2
831	CAST	12380	Cast
832	CAPZB	12345	Capzb
833	CARS1	27267	Cars1
835	CASP2	12366	Casp2
836	CASP3	12367	Casp3
839	CASP6	12368	Casp6
840	CASP7	12369	Casp7
841	CASP8	12370	Casp8
842	CASP9	12371	Casp9
844	CASQ1	12372	Casq1
845	CASQ2	12373	Casq2
846	CASR	12374	Casr
847	CAT	12359	Cat
857	CAV1	12389	Cav1
858	CAV2	12390	Cav2
859	CAV3	12391	Cav3
860	RUNX2	12393	Runx2
861	RUNX1	12394	Runx1
862	RUNX1T1	12395	Runx1t1
863	CBFA2T3	12398	Cbfa2t3
864	RUNX3	12399	Runx3
865	CBFB	12400	Cbfb
866	SERPINA6	12401	Serpina6
867	CBL	12402	Cbl
868	CBLB	208650	Cblb
869	CBLN1	12404	Cbln1
871	SERPINH1	12406	Serpinh1
873	CBR1	12408	Cbr1
874	CBR3	109857	Cbr3
875	CBS	12411	Cbs
881	CCIN	442829	Ccin
883	KYAT1	70266	Kyat1
885	CCK	12424	Cck
886	CCKAR	12425	Cckar
887	CCKBR	12426	Cckbr
889	KRIT1	79264	Krit1
890	CCNA2	12428	Ccna2
891	CCNB1	268697	Ccnb1
892	CCNC	51813	Ccnc
894	CCND2	12444	Ccnd2
896	CCND3	12445	Ccnd3
898	CCNE1	12447	Ccne1
899	CCNF	12449	Ccnf
900	CCNG1	12450	Ccng1
901	CCNG2	12452	Ccng2
902	CCNH	66671	Ccnh
904	CCNT1	12455	Ccnt1
905	CCNT2	72949	Ccnt2
908	CCT6A	12466	Cct6a
912	CD1D	12479	Cd1d1
914	CD2	12481	Cd2
915	CD3D	12500	Cd3d
916	CD3E	12501	Cd3e
917	CD3G	12502	Cd3g
919	CD247	12503	Cd247
920	CD4	12504	Cd4
921	CD5	12507	Cd5
922	CD5L	11801	Cd5l
923	CD6	12511	Cd6
924	CD7	12516	Cd7
925	CD8A	12525	Cd8a
926	CD8B	12526	Cd8b1
928	CD9	12527	Cd9
929	CD14	12475	Cd14
930	CD19	12478	Cd19
931	MS4A1	12482	Ms4a1
933	CD22	12483	Cd22
939	CD27	21940	Cd27
940	CD28	12487	Cd28
941	CD80	12519	Cd80
942	CD86	12524	Cd86
943	TNFRSF8	21941	Tnfrsf8
944	TNFSF8	21949	Tnfsf8
945	CD33	12489	Cd33
947	CD34	12490	Cd34
948	CD36	12491	Cd36
949	SCARB1	20778	Scarb1
950	SCARB2	12492	Scarb2
951	CD37	12493	Cd37
952	CD38	12494	Cd38
953	ENTPD1	12495	Entpd1
954	ENTPD2	12496	Entpd2
955	ENTPD6	12497	Entpd6
956	ENTPD3	215446	Entpd3
957	ENTPD5	12499	Entpd5
958	CD40	21939	Cd40
959	CD40LG	21947	Cd40lg
960	CD44	12505	Cd44
961	CD47	16423	Cd47
962	CD48	12506	Cd48
963	CD53	12508	Cd53
967	CD63	12512	Cd63
968	CD68	12514	Cd68
970	CD70	21948	Cd70
971	CD72	12517	Cd72
972	CD74	16149	Cd74
973	CD79A	12518	Cd79a
974	CD79B	15985	Cd79b
975	CD81	12520	Cd81
976	ADGRE5	26364	Adgre5
977	CD151	12476	Cd151
978	CDA	72269	Cda
983	CDK1	12534	Cdk1
984	CDK11B	12537	Cdk11b
987	LRBA	80877	Lrba
988	CDC5L	71702	Cdc5l
989	SEPTIN7	235072	Septin7
990	CDC6	23834	Cdc6
991	CDC20	107995	Cdc20
993	CDC25A	12530	Cdc25a
994	CDC25B	12531	Cdc25b
995	CDC25C	12532	Cdc25c
996	CDC27	217232	Cdc27
997	CDC34	216150	Cdc34
998	CDC42	12540	Cdc42
999	CDH1	12550	Cdh1
1000	CDH2	12558	Cdh2
1001	CDH3	12560	Cdh3
1002	CDH4	12561	Cdh4
1003	CDH5	12562	Cdh5
1004	CDH6	12563	Cdh6
1005	CDH7	241201	Cdh7
1006	CDH8	12564	Cdh8
1007	CDH9	12565	Cdh9
1008	CDH10	320873	Cdh10
1009	CDH11	12552	Cdh11
1010	CDH12	215654	Cdh12
1012	CDH13	12554	Cdh13
1013	CDH15	12555	Cdh15
1014	CDH16	12556	Cdh16
1015	CDH17	12557	Cdh17
1016	CDH18	320865	Cdh18
1017	CDK2	12566	Cdk2
1019	CDK4	12567	Cdk4
1020	CDK5	12568	Cdk5
1021	CDK6	12571	Cdk6
1022	CDK7	12572	Cdk7
1024	CDK8	264064	Cdk8
1025	CDK9	107951	Cdk9
1026	CDKN1A	12575	Cdkn1a
1027	CDKN1B	12576	Cdkn1b
1028	CDKN1C	12577	Cdkn1c
1030	CDKN2B	12579	Cdkn2b
1031	CDKN2C	12580	Cdkn2c
1032	CDKN2D	12581	Cdkn2d
1033	CDKN3	72391	Cdkn3
1036	CDO1	12583	Cdo1
1039	CDR2	12585	Cdr2
1040	CDS1	74596	Cds1
1041	CDSN	386463	Cdsn
1043	CD52	23833	Cd52
1044	CDX1	12590	Cdx1
1045	CDX2	12591	Cdx2
1046	CDX4	12592	Cdx4
1047	CLGN	12745	Clgn
1050	CEBPA	12606	Cebpa
1051	CEBPB	12608	Cebpb
1052	CEBPD	12609	Cebpd
1053	CEBPE	110794	Cebpe
1054	CEBPG	12611	Cebpg
1056	CEL	12613	Cel
1058	CENPA	12615	Cenpa
1059	CENPB	12616	Cenpb
1060	CENPC	12617	Cenpc1
1062	CENPE	229841	Cenpe
1063	CENPF	108000	Cenpf
1068	CETN1	26369	Cetn1
1069	CETN2	26370	Cetn2
1070	CETN3	12626	Cetn3
1072	CFL1	12631	Cfl1
1073	CFL2	12632	Cfl2
1075	CTSC	13032	Ctsc
1080	CFTR	12638	Cftr
1081	CGA	12640	Cga
1101	CHAD	12643	Chad
1102	RCBTB2	105670	Rcbtb2
1103	CHAT	12647	Chat
1104	RCC1	100088	Rcc1
1105	CHD1	12648	Chd1
1106	CHD2	244059	Chd2
1107	CHD3	216848	Chd3
1108	CHD4	107932	Chd4
1111	CHEK1	12649	Chek1
1112	FOXN3	71375	Foxn3
1113	CHGA	12652	Chga
1114	CHGB	12653	Chgb
1116	CHI3L1	12654	Chi3l1
1118	CHIT1	71884	Chit1
1119	CHKA	12660	Chka
1120	CHKB	12651	Chkb
1121	CHM	12662	Chm
1122	CHML	12663	Chml
1123	CHN1	108699	Chn1
1124	CHN2	69993	Chn2
1128	CHRM1	12669	Chrm1
1129	CHRM2	243764	Chrm2
1130	LYST	17101	Lyst
1131	CHRM3	12671	Chrm3
1132	CHRM4	12672	Chrm4
1133	CHRM5	213788	Chrm5
1134	CHRNA1	11435	Chrna1
1135	CHRNA2	110902	Chrna2
1136	CHRNA3	110834	Chrna3
1137	CHRNA4	11438	Chrna4
1138	CHRNA5	110835	Chrna5
1140	CHRNB1	11443	Chrnb1
1141	CHRNB2	11444	Chrnb2
1142	CHRNB3	108043	Chrnb3
1143	CHRNB4	108015	Chrnb4
1144	CHRND	11447	Chrnd
1145	CHRNE	11448	Chrne
1146	CHRNG	11449	Chrng
1147	CHUK	12675	Chuk
1149	CIDEA	12683	Cidea
1152	CKB	12709	Ckb
1153	CIRBP	12696	Cirbp
1154	CISH	12700	Cish
1155	TBCB	66411	Tbcb
1158	CKM	12715	Ckm
1159	CKMT1B	12716	Ckmt1
1160	CKMT2	76722	Ckmt2
1161	ERCC8	71991	Ercc8
1163	CKS1B	54124	Cks1b
1164	CKS2	66197	Cks2
1173	AP2M1	11773	Ap2m1
1174	AP1S1	11769	Ap1s1
1175	AP2S1	232910	Ap2s1
1176	AP3S1	11777	Ap3s1
1179	CLCA1	23844	Clca1
1180	CLCN1	12723	Clcn1
1181	CLCN2	12724	Clcn2
1182	CLCN3	12725	Clcn3
1183	CLCN4	12727	Clcn4
1184	CLCN5	12728	Clcn5
1185	CLCN6	26372	Clcn6
1186	CLCN7	26373	Clcn7
1191	CLU	12759	Clu
1192	CLIC1	114584	Clic1
1195	CLK1	12747	Clk1
1196	CLK2	12748	Clk2
1198	CLK3	102414	Clk3
1200	TPP1	12751	Tpp1
1201	CLN3	12752	Cln3
1203	CLN5	211286	Cln5
1207	CLNS1A	12729	Clns1a
1208	CLPS	109791	Clps
1209	CLPTM1	56457	Clptm1
1211	CLTA	12757	Clta
1212	CLTB	74325	Cltb
1213	CLTC	67300	Cltc
1215	CMA1	17228	Cma1
1230	CCR1	12768	Ccr1
1232	CCR3	12771	Ccr3
1233	CCR4	12773	Ccr4
1235	CCR6	12458	Ccr6
1236	CCR7	12775	Ccr7
1237	CCR8	12776	Ccr8
1238	ACKR2	59289	Ackr2
1240	CMKLR1	14747	Cmklr1
1241	LTB4R	16995	Ltb4r1
1244	ABCC2	12780	Abcc2
1258	CNGB1	333329	Cngb1
1259	CNGA1	12788	Cnga1
1260	CNGA2	12789	Cnga2
1261	CNGA3	12790	Cnga3
1262	CNGA4	233649	Cnga4
1263	PLK3	12795	Plk3
1264	CNN1	12797	Cnn1
1265	CNN2	12798	Cnn2
1266	CNN3	71994	Cnn3
1267	CNP	12799	Cnp
1268	CNR1	12801	Cnr1
1269	CNR2	12802	Cnr2
1270	CNTF	12803	Cntf
1271	CNTFR	12804	Cntfr
1272	CNTN1	12805	Cntn1
1277	COL1A1	12842	Col1a1
1278	COL1A2	12843	Col1a2
1280	COL2A1	12824	Col2a1
1281	COL3A1	12825	Col3a1
1282	COL4A1	12826	Col4a1
1284	COL4A2	12827	Col4a2
1285	COL4A3	12828	Col4a3
1286	COL4A4	12829	Col4a4
1287	COL4A5	12830	Col4a5
1288	COL4A6	94216	Col4a6
1289	COL5A1	12831	Col5a1
1290	COL5A2	12832	Col5a2
1291	COL6A1	12833	Col6a1
1292	COL6A2	12834	Col6a2
1293	COL6A3	12835	Col6a3
1294	COL7A1	12836	Col7a1
1295	COL8A1	12837	Col8a1
1296	COL8A2	329941	Col8a2
1297	COL9A1	12839	Col9a1
1298	COL9A2	12840	Col9a2
1299	COL9A3	12841	Col9a3
1300	COL10A1	12813	Col10a1
1301	COL11A1	12814	Col11a1
1302	COL11A2	12815	Col11a2
1303	COL12A1	12816	Col12a1
1305	COL13A1	12817	Col13a1
1306	COL15A1	12819	Col15a1
1307	COL16A1	107581	Col16a1
1308	COL17A1	12821	Col17a1
1310	COL19A1	12823	Col19a1
